iter	Logloss	Accuracy
0	0.6441901172	0.9210371602
1	0.6112111481	0.9210371602
2	0.5787188954	0.921239888933	0.5547339852	0.921868348
4	0.5291403469	0.9215845277
5	0.5051223109	0.9214223448
6	0.4860177222	0.9257404667	7	0.4677049594	0.9268149288	8	0.4488503885	0.9268149289	9	0.4344483718	0.9268149281010	0.4200535807	0.9266122001111	0.4065855732	0.9265513811212	0.3911432929	0.9267135641113	0.3757752719	0.9273622914114	0.3615171993	0.9275042015115	0.3502939464	0.927443381616	0.3432506815	0.9274028421717	0.335333792	0.927443388
18	0.3211108276	0.927443388
19	0.3157649921	0.927443388
20	0.3092077124	0.9275042066
21	0.3036809323	0.9274636609
22	0.2984192867	0.9273014772223	0.2941359351	0.9273217502224	0.2874003146	0.9273420232225	0.2802182101	0.9272001132226	0.2761922117	0.927119022227	0.2730959649	0.927119022
28	0.2695397704	0.9271798407
29	0.2640079427	0.9272203864330	0.2612433203	0.9272203864331	0.2590413451	0.9272203864332	0.255805659	0.9273622965
33	0.2537726273	0.9273825694
34	0.2518016923	0.9273420236
35	0.2499312484	0.9272406593
36	0.2465113825	0.9274839337
37	0.2449430212	0.927605571
38	0.2425642737	0.9277069353
39	0.2395139585	0.927767754
40	0.2376664826	0.9286394875
41	0.2367745084	0.928558396
42	0.2357950864	0.928558396
43	0.2347281701	0.9283151215
44	0.2314996299	0.928558396
45	0.2293630997	0.9285381231
46	0.2273510399	0.9284975774
47	0.2253292838	0.9292679466
48	0.2234934083	0.9305856833
49	0.2225025231	0.9307275934
50	0.2215996173	0.9306465019
51	0.2201165091	0.9308695035
52	0.2194794631	0.930788412
53	0.2169551994	0.9310316865
54	0.216369356	0.9309303221
55	0.2158833615	0.930950595
56	0.215050141	0.9310519594
57	0.2142510732	0.9309708679
58	0.2132617292	0.9310722322
59	0.2122493788	0.931112778
60	0.2111846487	0.9310722322
61	0.2105736831	0.9313155067
62	0.2092169759	0.9313560525
63	0.2084339175	0.9313560525
64	0.2077995031	0.9313155067
65	0.2074637195	0.9313357796
66	0.2070737188	0.9313155067
67	0.2062575309	0.931437144
68	0.2060832289	0.931437144
69	0.2060118443	0.931437144
70	0.2057038344	0.9314168711
71	0.2052143174	0.9321061488
72	0.2042874261	0.9321264216
73	0.2036550964	0.9321264216
74	0.2028950754	0.9321264216
75	0.2025221543	0.9321061488
76	0.2018314375	0.9321061488
77	0.2016382667	0.9321061488
78	0.2014840478	0.9321061488
79	0.2006215707	0.9321061488
80	0.200272582	0.9321061488
81	0.1997021424	0.9321264216
82	0.1995436196	0.9322075131
83	0.1994173571	0.9322075131
84	0.1990326662	0.932227786
85	0.1989304491	0.9322480589
86	0.1986694418	0.9322480589
87	0.1982529905	0.9322683317
88	0.1980016618	0.9322683317
89	0.1977395805	0.9322683317
90	0.1975365516	0.9322683317
91	0.1971787897	0.9322683317
92	0.1970526985	0.9322683317
93	0.1966538575	0.9322683317
94	0.1964398967	0.9322683317
95	0.1963538069	0.9322683317
96	0.1962351526	0.9322683317
97	0.1959569487	0.9322683317
98	0.1958586328	0.9322683317
99	0.1956591728	0.9322683317
2
435
807
92
