iter	Passed	Remaining
0	4224	418176
1	7632	373991
2	10925	353250
3	14160	339846
4	18185	345521
5	21583	338134
6	24868	330398
7	28545	328276
8	32236	325949
9	35278	317503
10	38458	311166
11	42034	308252
12	45900	307181
13	49150	301922
14	52430	297108
15	56183	294963
16	59668	291320
17	63059	287271
18	66539	283667
19	70069	280278
20	73348	275931
21	77208	273737
22	80603	269846
23	83795	265351
24	87122	261367
25	90608	257885
26	94547	255627
27	97709	251254
28	101277	247955
29	104787	244503
30	109676	244118
31	113052	240236
32	116383	236293
33	120614	234133
34	124021	230324
35	127392	226475
36	130833	222769
37	134552	219533
38	138499	216628
39	141825	212738
40	145508	209390
41	148818	205511
42	152198	201751
43	155994	198539
44	159977	195527
45	163287	191685
46	166713	187996
47	170167	184348
48	173770	180863
49	177096	177096
50	180623	173540
51	184238	170065
52	187805	166544
53	191524	163150
54	195095	159623
55	199570	156805
56	203497	153515
57	207077	149952
58	210519	146293
59	214308	142872
60	217607	139126
61	221162	135550
62	224660	131943
63	228361	128453
64	232101	124977
65	235453	121294
66	239087	117759
67	242543	114138
68	247268	111091
69	250702	107443
70	254519	103958
71	257840	100271
72	261357	96666
73	265208	93181
74	268597	89532
75	271964	85883
76	275358	82250
77	278940	78675
78	282317	75046
79	285575	71393
80	289134	67821
81	293141	64348
82	296491	60727
83	300260	57192
84	304324	53704
85	308195	50171
86	311786	46588
87	315794	43062
88	319707	39514
89	323353	35928
90	326983	32338
91	330586	28746
92	334605	25185
93	338082	21579
94	341769	17987
95	345163	14381
96	348599	10781
97	352104	7185
98	356105	3597
99	359395	0
