iter	Logloss	Accuracy
0	0.3471124192	0.9239527076
1	0.2626727019	0.9247737557
2	0.2314041954	0.9282768939
3	0.2212553652	0.9296270617
4	0.2025783449	0.9323091519
5	0.1960292504	0.932455116
6	0.1923751553	0.9325280981
7	0.1913645983	0.9326193256
8	0.1906620906	0.9328930083
9	0.1890855174	0.9335316012
10	0.1889084684	0.9335498467
11	0.1885879332	0.93402423
12	0.1875597357	0.9344438768
13	0.1866646979	0.934699314
14	0.1860668321	0.934808787
15	0.184707565	0.9348817691
16	0.1845337258	0.934735805
17	0.1843160582	0.934735805
18	0.184068935	0.9348270325
19	0.1838738309	0.9348635236
20	0.1836102977	0.9349365056
21	0.1834296256	0.9350642242
22	0.1830777969	0.9350459787
23	0.1830150351	0.9350459787
24	0.182703365	0.9351554518
25	0.1824358003	0.9351554518
26	0.1822968588	0.9351372062
27	0.1821091289	0.9352101883
28	0.1819028201	0.9351919428
29	0.1816094946	0.9353196614
30	0.1813843208	0.9353926434
31	0.1811586027	0.9354473799
32	0.1810854963	0.9354108889
33	0.1809416079	0.9354108889
34	0.1808394071	0.9354656255
35	0.1805896778	0.9354473799
36	0.1805153678	0.9354108889
37	0.180386344	0.935483871
38	0.180367406	0.935483871
39	0.1801853708	0.935483871
40	0.1800561176	0.9355386075
41	0.1798818124	0.9355750985
42	0.1797432897	0.935556853
43	0.1797014783	0.9355750985
44	0.1796807763	0.9355750985
45	0.1794671132	0.935556853
46	0.1793961469	0.9355750985
47	0.1792772241	0.9356298351
48	0.179164068	0.9356480806
49	0.1789651051	0.9356480806
50	0.1788455635	0.9356480806
51	0.1787652674	0.9356663261
52	0.1786683672	0.9356663261
53	0.1785948568	0.9356663261
54	0.1783437464	0.9356663261
55	0.1781839202	0.9357028171
56	0.1781088348	0.9357210626
57	0.1780451136	0.9357940447
58	0.1779354998	0.9358305357
59	0.1778859785	0.9358670267
60	0.1777361075	0.9358670267
61	0.1776961116	0.9359764998
62	0.1776236771	0.9360129908
63	0.1775635413	0.9359764998
64	0.1774358752	0.9359582543
65	0.1773123342	0.9359400088
66	0.1772913047	0.9359582543
67	0.1772883561	0.9359582543
68	0.1771296841	0.9359400088
69	0.1771160487	0.9359582543
70	0.1770872728	0.9359400088
71	0.1770084419	0.9359400088
72	0.17684056	0.9360129908
73	0.1767106158	0.9361042184
74	0.1766256164	0.9361589549
75	0.1765970837	0.9361407094
76	0.1765678197	0.9361224639
77	0.1764706705	0.9361042184
78	0.176431272	0.9361589549
79	0.1764092523	0.9361772004
80	0.1763171058	0.9362319369
81	0.1761902161	0.9362866735
82	0.1761638563	0.936268428
83	0.1760486562	0.9362501825
84	0.1760167125	0.9363231645
85	0.175963181	0.9365056196
86	0.1759051747	0.9365238651
87	0.1758919437	0.9365421106
88	0.1758888422	0.9365421106
89	0.1758674679	0.9365421106
90	0.1757674952	0.9365421106
91	0.1756957018	0.9365421106
92	0.1756333406	0.9365238651
93	0.1755837506	0.9365786017
94	0.1755006947	0.9365603562
95	0.1754714589	0.9365786017
96	0.1754144093	0.9366150927
97	0.1754021933	0.9366150927
98	0.1753970796	0.9366150927
99	0.1753539934	0.9366333382
