iter	Passed	Remaining
0	757	74961
1	799	39189
2	831	26886
3	869	20869
4	930	17683
5	951	14914
6	972	12914
7	991	11404
8	1012	10241
9	1036	9328
10	1048	8486
11	1069	7842
12	1089	7292
13	1110	6819
14	1129	6401
15	1149	6036
16	1169	5709
17	1189	5416
18	1209	5157
19	1228	4915
20	1249	4699
21	1274	4518
22	1297	4342
23	1322	4187
24	1344	4033
25	1375	3916
26	1398	3782
27	1423	3659
28	1446	3542
29	1468	3425
30	1491	3319
31	1516	3223
32	1542	3131
33	1566	3041
34	1599	2970
35	1622	2884
36	1644	2799
37	1668	2722
38	1688	2641
39	1712	2569
40	1734	2495
41	1760	2430
42	1781	2361
43	1807	2300
44	1828	2235
45	1857	2180
46	1897	2139
47	1925	2086
48	2014	2097
49	2073	2073
50	2097	2014
51	2117	1954
52	2151	1907
53	2175	1853
54	2199	1799
55	2225	1748
56	2249	1696
57	2272	1645
58	2294	1594
59	2318	1545
60	2349	1502
61	2370	1453
62	2396	1407
63	2418	1360
64	2438	1313
65	2460	1267
66	2480	1221
67	2502	1177
68	2525	1134
69	2545	1090
70	2566	1048
71	2588	1006
72	2615	967
73	2635	926
74	2665	888
75	2685	848
76	2705	808
77	2724	768
78	2746	729
79	2775	693
80	2798	656
81	2820	619
82	2841	582
83	2862	545
84	2885	509
85	2907	473
86	2929	437
87	2950	402
88	2976	367
89	3020	335
90	3043	300
91	3093	269
92	3166	238
93	3189	203
94	3210	168
95	3235	134
96	3260	100
97	3285	67
98	3305	33
99	3331	0
